Supply
Sl.No: 1|Set.No: 1|Name: Devon Conway|BasePrice: 200L|Country: New Zealand|LHB|
Sl.No: 2|Set.No: 1|Name: Jake Fraser-McGurk|BasePrice: 200L|Country: Australia|RHB|
Sl.No: 3|Set.No: 1|Name: Cameron Green|BasePrice: 200L|Country: Australia|RHB|RIGHT ARM Fast
Sl.No: 4|Set.No: 1|Name: Sarfaraz Khan|BasePrice: 75L|Country: Indian|RHB|RIGHT ARM Leg Spin
Sl.No: 5|Set.No: 1|Name: David Miller|BasePrice: 200L|Country: South Africa|LHB|
Sl.No: 6|Set.No: 1|Name: Prithvi Shaw|BasePrice: 75L|Country: Indian|RHB|
Sl.No: 7|Set.No: 2|Name: Gus Atkinson|BasePrice: 200L|Country: England|RHB|RIGHT ARM Fast
Sl.No: 8|Set.No: 2|Name: Wanindu Hasaranga|BasePrice: 200L|Country: Sri Lanka|RHB|RIGHT ARM Leg Spin
Sl.No: 9|Set.No: 2|Name: Deepak Hooda|BasePrice: 75L|Country: Indian|RHB|RIGHT ARM Off Spin
Sl.No: 10|Set.No: 2|Name: Venkatesh Iyer|BasePrice: 200L|Country: Indian|LHB|RIGHT ARM Medium
Sl.No: 11|Set.No: 2|Name: Liam Livingstone|BasePrice: 200L|Country: England|RHB|RIGHT ARM Leg Spin
Sl.No: 12|Set.No: 2|Name: Wiaan Mulder|BasePrice: 100L|Country: South Africa|RHB|RIGHT ARM Fast Medium
Sl.No: 13|Set.No: 2|Name: Rachin Ravindra|BasePrice: 200L|Country: New Zealand|LHB|LEFT ARM Slow Orthodox
Sl.No: 14|Set.No: 3|Name: Finn Allen|BasePrice: 200L|Country: New Zealand|RHB|
Sl.No: 15|Set.No: 3|Name: Jonny Bairstow|BasePrice: 100L|Country: England|RHB|
Sl.No: 16|Set.No: 3|Name: K.S. Bharat|BasePrice: 75L|Country: Indian|RHB|
Sl.No: 17|Set.No: 3|Name: Quinton De Kock|BasePrice: 100L|Country: South Africa|LHB|
Sl.No: 18|Set.No: 3|Name: Ben Duckett|BasePrice: 200L|Country: England|LHB|
Sl.No: 19|Set.No: 3|Name: Rahmanullah Gurbaz|BasePrice: 150L|Country: Afghanistan|RHB|
Sl.No: 20|Set.No: 3|Name: Jamie Smith|BasePrice: 200L|Country: England|RHB|
Sl.No: 21|Set.No: 4|Name: Gerald Coetzee|BasePrice: 200L|Country: South Africa|RHB|RIGHT ARM Fast
Sl.No: 22|Set.No: 4|Name: Akash Deep|BasePrice: 100L|Country: Indian|RHB|RIGHT ARM Fast
Sl.No: 23|Set.No: 4|Name: Jacob Duffy|BasePrice: 200L|Country: New Zealand|RHB|RIGHT ARM Fast Medium
Sl.No: 24|Set.No: 4|Name: Fazalhaq Farooqi|BasePrice: 100L|Country: Afghanistan|RHB|LEFT ARM Fast Medium
Sl.No: 25|Set.No: 4|Name: Matt Henry|BasePrice: 200L|Country: New Zealand|RHB|RIGHT ARM Fast Medium
